city,state,city_alt
Terrebonne,OR,
The Dalles,OR,
Tieton,WA,
Tillamook,OR,
Toledo,WA,
Tonasket,WA,
Touchet,WA,
Trout Lake,WA,
Tualatin,OR,
Turner,OR,
Twisp,WA,
Tygh Valley,OR,
Umatilla,OR,
Uniontown,WA,
Vancouver,WA,
Veneta,OR,
Vernonia,OR,
Waitsburg,WA,
Waldport,OR,
Walla Walla,WA,
Wallula,WA,
Warden,WA,
Washougal,WA,
Waterville,WA,
Weiser,ID,
Wenatchee,WA,
West Linn,OR,
West Richland,WA,
White City,OR,
White Salmon,WA,
Wilbur,WA,
Wilder,ID,
Willamina,OR,
Wilsonville,OR,
Winlock,WA,
Winston,OR,
Worley,ID,
Yachats,OR,
Yakima,WA,
Yoncalla,OR,
Zillah,WA,
